Folder Path,Image 1,Image 2,Sort Order,Proposed Front,Proposed Back,Proposal Basis
2025 Kakawow Cosmos Marvel / 2025 Kakawow Cosmos Marvel - Cosmos Aurora / CM-CA-36,CM-CA-36 BACK.webp,CM-CA-36.webp,alphabetical (numeric-aware),CM-CA-36.webp,CM-CA-36 BACK.webp,"""CM-CA-36 BACK.webp"" is marked back"
2025 Kakawow Cosmos Marvel / 2025 Kakawow Cosmos Marvel - Cosmos Red / CM-R-49,CM-R-49 Front.webp,CM-R-49.webp,alphabetical (numeric-aware),CM-R-49 Front.webp,CM-R-49.webp,"""CM-R-49 Front.webp"" is marked front"
2025 Kakawow Cosmos Marvel / 2025 Kakawow Cosmos Marvel - Cosmos Red / CM-R-57,CM-R-57 Front.webp,CM-R-57.webp,alphabetical (numeric-aware),CM-R-57 Front.webp,CM-R-57.webp,"""CM-R-57 Front.webp"" is marked front"
2025 Kakawow Cosmos Marvel / 2025 Kakawow Cosmos Marvel - Cosmos Red / CM-R-73,CM-R-73 Back.webp,CM-R-73.webp,alphabetical (numeric-aware),CM-R-73.webp,CM-R-73 Back.webp,"""CM-R-73 Back.webp"" is marked back"
2025 Kakawow Cosmos Marvel / 2025 Kakawow Cosmos Marvel - Cosmos Red / CM-R-79,CM-R-79 Front.webp,CM-R-79.webp,alphabetical (numeric-aware),CM-R-79 Front.webp,CM-R-79.webp,"""CM-R-79 Front.webp"" is marked front"
2025 Kakawow Cosmos Marvel / 2025 Kakawow Cosmos Marvel - Cosmos Red / CM-R-83,CM-R-83 Front.webp,CM-R-83.webp,alphabetical (numeric-aware),CM-R-83 Front.webp,CM-R-83.webp,"""CM-R-83 Front.webp"" is marked front"
2025 Kakawow Cosmos Marvel / 2025 Kakawow Cosmos Marvel - Cosmos Red / CM-R-88,CM-R-88 Back.webp,CM-R-88.webp,alphabetical (numeric-aware),CM-R-88.webp,CM-R-88 Back.webp,"""CM-R-88 Back.webp"" is marked back"
2025 Kakawow Cosmos Marvel / 2025 Kakawow Cosmos Marvel - Die-Cut / CM-YX-03,CM-YX-03 Front.webp,CM-YX-03.webp,alphabetical (numeric-aware),CM-YX-03 Front.webp,CM-YX-03.webp,"""CM-YX-03 Front.webp"" is marked front"
2025 Kakawow Cosmos Marvel / 2025 Kakawow Cosmos Marvel - Die-Cut / CM-YX-04,CM-YX-04 Back.webp,CM-YX-04.webp,alphabetical (numeric-aware),CM-YX-04.webp,CM-YX-04 Back.webp,"""CM-YX-04 Back.webp"" is marked back"
2025 Kakawow Cosmos Marvel / 2025 Kakawow Cosmos Marvel - Die-Cut / CM-YX-06,CM-YX-06 Back.webp,CM-YX-06.webp,alphabetical (numeric-aware),CM-YX-06.webp,CM-YX-06 Back.webp,"""CM-YX-06 Back.webp"" is marked back"
