Folder Path,Image 1,Image 2,Sort Order,Proposed Front,Proposed Back,Proposal Basis
2025 Kakawow Cosmos Marvel Rivals / 2025 Kakawow Phantom Marvel Rivals - Rivals Refractor Orange / PMR-ZFO-03,PMR-ZFO-03 BACK.webp,PMR-ZFO-03.webp,alphabetical (numeric-aware),PMR-ZFO-03.webp,PMR-ZFO-03 BACK.webp,"""PMR-ZFO-03 BACK.webp"" is marked back"
2025 Kakawow Cosmos Marvel Rivals / 2025 Kakawow Phantom Marvel Rivals - Rivals Refractor Orange / PMR-ZFO-04,PMR-ZFO-04 BACK.webp,PMR-ZFO-04.webp,alphabetical (numeric-aware),PMR-ZFO-04.webp,PMR-ZFO-04 BACK.webp,"""PMR-ZFO-04 BACK.webp"" is marked back"
2025 Kakawow Cosmos Marvel Rivals / 2025 Kakawow Phantom Marvel Rivals - Rivals Refractor Orange / PMR-ZFO-05,PMR-ZFO-05 FRONT.webp,PMR-ZFO-05.webp,alphabetical (numeric-aware),PMR-ZFO-05 FRONT.webp,PMR-ZFO-05.webp,"""PMR-ZFO-05 FRONT.webp"" is marked front"
2025 Kakawow Cosmos Marvel Rivals / 2025 Kakawow Phantom Marvel Rivals - Rivals Refractor Orange / PMR-ZFO-07,PMR-ZFO-07 BACK.webp,PMR-ZFO-07.webp,alphabetical (numeric-aware),PMR-ZFO-07.webp,PMR-ZFO-07 BACK.webp,"""PMR-ZFO-07 BACK.webp"" is marked back"
2025 Kakawow Cosmos Marvel Rivals / 2025 Kakawow Phantom Marvel Rivals - Rivals Refractor Orange / PMR-ZFO-08,PMR-ZFO-08 BACK.webp,PMR-ZFO-08.webp,alphabetical (numeric-aware),PMR-ZFO-08.webp,PMR-ZFO-08 BACK.webp,"""PMR-ZFO-08 BACK.webp"" is marked back"
2025 Kakawow Cosmos Marvel Rivals / 2025 Kakawow Phantom Marvel Rivals - Rivals Refractor Orange / PMR-ZFO-12,PMR-ZFO-12 BACK.webp,PMR-ZFO-12.webp,alphabetical (numeric-aware),PMR-ZFO-12.webp,PMR-ZFO-12 BACK.webp,"""PMR-ZFO-12 BACK.webp"" is marked back"
2025 Kakawow Cosmos Marvel Rivals / 2025 Kakawow Phantom Marvel Rivals - Rivals Refractor Orange / PMR-ZFO-13,PMR-ZFO-13 BACK.webp,PMR-ZFO-13.webp,alphabetical (numeric-aware),PMR-ZFO-13.webp,PMR-ZFO-13 BACK.webp,"""PMR-ZFO-13 BACK.webp"" is marked back"
2025 Kakawow Cosmos Marvel Rivals / 2025 Kakawow Phantom Marvel Rivals - Rivals Refractor Orange / PMR-ZFO-21,PMR-ZFO-21 BACK.webp,PMR-ZFO-21.webp,alphabetical (numeric-aware),PMR-ZFO-21.webp,PMR-ZFO-21 BACK.webp,"""PMR-ZFO-21 BACK.webp"" is marked back"
2025 Kakawow Cosmos Marvel Rivals / 2025 Kakawow Phantom Marvel Rivals - Rivals Refractor Orange / PMR-ZFO-24,PMR-ZFO-24 BACK.webp,PMR-ZFO-24.webp,alphabetical (numeric-aware),PMR-ZFO-24.webp,PMR-ZFO-24 BACK.webp,"""PMR-ZFO-24 BACK.webp"" is marked back"
2025 Kakawow Cosmos Marvel Rivals / 2025 Kakawow Phantom Marvel Rivals - Rivals Refractor Orange / PMR-ZFO-26,PMR-ZFO-26 FRONT.webp,PMR-ZFO-26.webp,alphabetical (numeric-aware),PMR-ZFO-26 FRONT.webp,PMR-ZFO-26.webp,"""PMR-ZFO-26 FRONT.webp"" is marked front"
2025 Kakawow Cosmos Marvel Rivals / 2025 Kakawow Phantom Marvel Rivals - Rivals Refractor Orange / PMR-ZFO-27,PMR-ZFO-27 BACK.webp,PMR-ZFO-27.webp,alphabetical (numeric-aware),PMR-ZFO-27.webp,PMR-ZFO-27 BACK.webp,"""PMR-ZFO-27 BACK.webp"" is marked back"
2025 Kakawow Cosmos Marvel Rivals / 2025 Kakawow Phantom Marvel Rivals - Rivals Refractor Orange / PMR-ZFO-29,PMR-ZFO-29 BACK.webp,PMR-ZFO-29.webp,alphabetical (numeric-aware),PMR-ZFO-29.webp,PMR-ZFO-29 BACK.webp,"""PMR-ZFO-29 BACK.webp"" is marked back"
2025 Kakawow Cosmos Marvel Rivals / 2025 Kakawow Phantom Marvel Rivals - Rivals Refractor Orange / PMR-ZFO-30,PMR-ZFO-30 BACK.webp,PMR-ZFO-30.webp,alphabetical (numeric-aware),PMR-ZFO-30.webp,PMR-ZFO-30 BACK.webp,"""PMR-ZFO-30 BACK.webp"" is marked back"
2025 Kakawow Cosmos Marvel Rivals / 2025 Kakawow Phantom Marvel Rivals - Rivals Refractor Orange / PMR-ZFO-33,PMR-ZFO-33 BACK.webp,pmr-zfo-33.webp,alphabetical (numeric-aware),pmr-zfo-33.webp,PMR-ZFO-33 BACK.webp,"""PMR-ZFO-33 BACK.webp"" is marked back"
2025 Kakawow Cosmos Marvel Rivals / 2025 Kakawow Phantom Marvel Rivals - Rivals Refractor Orange / PMR-ZFO-34,PMR-ZFO-34 BACK.webp,PMR-ZFO-34.webp,alphabetical (numeric-aware),PMR-ZFO-34.webp,PMR-ZFO-34 BACK.webp,"""PMR-ZFO-34 BACK.webp"" is marked back"
2025 Topps Marvel The Collector / Autograph Variation / MP-TS,mp-st front.webp,mp-st.webp,alphabetical (numeric-aware),mp-st front.webp,mp-st.webp,"""mp-st front.webp"" is marked front"
2025 Topps Marvel The Collector / Marvel Tomorrow / MT-15,MT-15 Front.webp,MT-15.webp,alphabetical (numeric-aware),MT-15 Front.webp,MT-15.webp,"""MT-15 Front.webp"" is marked front"
2025 Topps Marvel The Collector / Marvel Tomorrow / MT-20,MT-20 Back.webp,MT-20 Fronbt.webp,alphabetical (numeric-aware),MT-20 Fronbt.webp,MT-20 Back.webp,"""MT-20 Back.webp"" is marked back"
2025 Topps Marvel The Collector / Marvel Tomorrow / MT-5,MT-5 Front.webp,MT-5.webp,alphabetical (numeric-aware),MT-5 Front.webp,MT-5.webp,"""MT-5 Front.webp"" is marked front"
2025 Topps Marvel The Collector / Marvel Tomorrow / MT-6,MT-6 Back.webp,MT-6.webp,alphabetical (numeric-aware),MT-6.webp,MT-6 Back.webp,"""MT-6 Back.webp"" is marked back"
2025 Topps Marvel The Collector / MCU Perfection / 33,MCU Perfection 33 Baack.webp,MCU Perfection 33 Front.webp,alphabetical (numeric-aware),MCU Perfection 33 Front.webp,MCU Perfection 33 Baack.webp,"""MCU Perfection 33 Front.webp"" is marked front"
2025 Topps Marvel The Collector / MCU Perfection / 46,MCU Perfection 46 Back.webp,MCU Perfection 46.webp,alphabetical (numeric-aware),MCU Perfection 46.webp,MCU Perfection 46 Back.webp,"""MCU Perfection 46 Back.webp"" is marked back"
2025 Topps Marvel The Collector / The Collectors Museum / TM-KH,TM-KH FRONT.webp,TM-KH.webp,alphabetical (numeric-aware),TM-KH FRONT.webp,TM-KH.webp,"""TM-KH FRONT.webp"" is marked front"
2025 Topps Marvel The Collector / Villainy / V-01,V-01 Front.webp,V-01.webp,alphabetical (numeric-aware),V-01 Front.webp,V-01.webp,"""V-01 Front.webp"" is marked front"
2025 Topps Marvel The Collector / Villainy / V-02,Villainy V-02 Front.webp,Villainy V-02.webp,alphabetical (numeric-aware),Villainy V-02 Front.webp,Villainy V-02.webp,"""Villainy V-02 Front.webp"" is marked front"
2025 Topps Mint Marvel / 2025 Topps Mint Marvel - Black Shimmer / 102,102 back.webp,102.webp,alphabetical (numeric-aware),102.webp,102 back.webp,"""102 back.webp"" is marked back"
2026 Topps Brooklyn Collection - Captain America / 2025 Topps Chrome Marvel Studios - Avengers Shadowbox Red Refractor / AS 5,AS 5 FRONT.webp,AS 5.webp,alphabetical (numeric-aware),AS 5 FRONT.webp,AS 5.webp,"""AS 5 FRONT.webp"" is marked front"
