year,set_name,cards_missing_images,set_adds_last_90_days,set_adds_all_time,set_unique_collectors,set_wishlist_adds
2023,2023 Fleer Ultra Marvel Midnight Sons - Dark Texts Booklets,11,13,24,4,0
2024,2024 Upper Deck Marvel Masterpieces '92 Platinum - Lenticular,71,13,14,6,0
2026,Storm's Lightning Refractor,200,13,13,2,0
2024,2024 Upper Deck Marvel Masterpieces '92 Platinum - Holofoil,10,12,67,5,0
2021,2021-22 Upper Deck Marvel Annual - 2021-22 Upper Deck Marvel Annual,26,12,40,3,0
2026,Pink Refractor,198,12,12,8,0
2025,2025 Topps Chrome Sapphire Edition Marvel - Gold Sapphire,100,11,11,2,0
1990,1990 Impel Marvel Universe - Promos,2,11,11,2,5
2023,2023 Fleer Ultra Marvel Wolverine - X-23,10,11,11,2,0
2023,2023 Fleer Ultra Marvel Wolverine - Team Affiliations,1,10,27,3,0
2026,Authentic Marvel Comic Book Artist Autographs,33,10,10,9,0
1996,1996 SkyBox Premium Spider-Man - Canvas,1,10,10,3,3
2025,2025 Kakawow Cosmos Marvel - The Morphing Hero,10,10,10,3,0
2024,2024 Upper Deck Marvel Beginnings Volume 2 Series 2 - Illustration Boards,90,10,10,2,0
2023,2023 Upper Deck Marvel Platinum - Cover Variant,7,9,110,4,1
2023,2023 Upper Deck Marvel What If…? - Acetate Originals,1,9,26,2,0
2023,2023 Upper Deck Marvel Platinum - Yellow Rainbow,1,9,16,4,1
2022,2022 Fleer Ultra Marvel Avengers - 3x3 Puzzle,16,9,14,3,1
2023,2023 Fleer Ultra Marvel Wolverine - 3 x 3,9,9,9,1,0
2024,2024 Upper Deck Marvel Studios Series 1 - Dazzlers Green,4,9,9,1,0
2024,2024 Upper Deck Marvel Studios Series 1 - UD Portraits,5,9,9,1,0
2008,2008 Upper Deck Marvel Masterpieces Set 2 - 2008 Upper Deck Marvel Masterpieces Set 2,39,8,209,5,1
2023,2023 Upper Deck Marvel Platinum - Blue Traxx,4,8,13,5,0
2024,2024 Upper Deck Marvel Beginnings Volume 2 Series 2 - Micromotion,89,8,8,2,0
2024,2024 Upper Deck Marvel Beginnings Volume 2 Series 2 - Flipped FX,90,8,8,1,0
2025,2025 Topps Chrome Marvel Studios - Daredevil Born Again,25,8,8,1,0
2025,2025 Kakawow Cosmos Marvel - Cosmos Red,82,8,8,2,0
2024,2024 Upper Deck Women of Marvel - Foil Lt Fx - Copper,37,8,8,3,0
2024,2024 SkyBox Marvel Masterpieces XL - Gold Foil,10,7,101,4,0
2023,2023 Upper Deck Marvel Platinum - Rainbow,11,7,30,3,0
2022,2022-23 Upper Deck Marvel Annual - 2022 Super Heroes of the Year,1,7,12,7,0
2021,2021 SkyBox Metal Universe Marvel Spider-Man - Grandiose,22,7,9,5,0
2024,2024 Upper Deck Marvel Avengers - Monumental Covers,24,7,7,2,0
2025,2025 Kakawow Cosmos Marvel - Lucky Card,5,7,7,1,0
2023,2023 Upper Deck Marvel What If…? - Possibilities,1,7,7,1,0
2026,Purple RayWave Refractor,200,7,7,7,0
2026,Gold X-Fractor,198,7,7,7,0
2022,2022-23 Upper Deck Marvel Annual - Canvas Variant Cover,73,6,25,4,0
2023,2023 Upper Deck Marvel What If…? - The Watcher's Sight Lenticulars,10,6,21,2,0
2024,2024 SkyBox Metal Universe Marvel Avengers - Gold FX,143,6,12,5,0
2024,2024 Upper Deck Marvel Masterpieces '92 Platinum - Red Prism,19,6,8,5,0
2025,2025 Topps Marvel Comic Book Heroes 1975 Golden Anniversary - Refractor,100,6,6,1,0
2026,Green RayWave Refractor,199,6,6,6,0
2026,Gold Refractor,199,6,6,6,0
2023,2023 Upper Deck Marvel Anime Vol. 2 - Hanafuda Booklets Redemption,12,6,6,2,0
