year,set_name,cards_missing_images,set_adds_last_90_days,set_adds_all_time,set_unique_collectors,set_wishlist_adds
2022,"2022 Upper Deck Marvel Beginnings Volume 2, Series 1 - Flipped FX Printing Plates Cyan",90,0,0,0,0
2023,2023 Upper Deck Marvel Thor Love and Thunder - Thunder Silver,80,0,0,0,0
2022,2022 Fleer Ultra Marvel Avengers - 1963,171,0,0,0,0
2020,2020 SkyBox Marvel Masterpieces - Printing Plates Magenta,100,0,0,0,0
2023,2023 Upper Deck Funko Pop Marvel Infinity Saga - Confetti Bomb,79,0,0,0,0
2026,World's Greatest Comic Magazine - Red,10,0,0,0,0
2026,Superfractor 1/146,1,0,0,0,0
2024,2024 Upper Deck Marvel Black Panther Wakanda Forever - Vibranium SP,20,0,0,0,0
2023,2023 Upper Deck Marvel Doctor Strange in the Multiverse of Madness - Spell,75,0,0,0,0
2024,2024 SkyBox Metal Universe Marvel Avengers - Printing Plate Cyan,100,0,0,0,0
2023,2023 Upper Deck Marvel Allegiance: The Infinity Trilogy - Creator Autographs,86,0,0,0,0
2019,2019 Upper Deck Marvel Premier - Written in the Stars,10,0,0,0,0
2021,2021 Upper Deck Marvel Black Widow - Family Reunion,8,0,0,0,0
2023,2023 Fleer Ultra Marvel Midnight Sons - Strange Tales Orange,18,0,0,0,0
2020,2020 Upper Deck Marvel Avengers Endgame & Captain Marvel - Sketch Artists,1,0,0,0,0
2023,2023 Upper Deck Marvel Wandavision - Welcome to Westview,15,0,0,0,0
2012,2012 Upper Deck Marvel Premier - Shadowbox,38,0,0,0,0
2019,2019 Upper Deck Marvel Agents of S.H.I.E.L.D. Compendium - The Plot Thickens,10,0,0,0,0
2017,2017 Upper Deck Marvel Spider-Man Homecoming - From Queens to Screen Dual Autographs,7,0,0,0,0
2024,2024 Upper Deck Marvel Studios Series 1 - Fluorescence Blue,25,0,0,0,0
2024,2024 Topps Chrome Marvel - Marvel 90s Orange Refractor,1,0,0,0,0
2023,2023 Upper Deck Marvel Wandavision - 1980s Classic Sitcom Signatures,5,0,0,0,0
2025,2025 Topps Marvel Comic Book Heroes 1975 Golden Anniversary - Gold Flake Shimmer,4,0,0,0,0
2014,2014 Rittenhouse Marvel: Dangerous Divas 2 - Marvel 75th Anniversary,25,0,0,0,0
2014,2014 Rittenhouse Marvel Universe - Sketches,1,0,0,0,0
1998,1998 Marvel Creators Collection - Sketchagraphs,1,0,0,0,0
2015,2015 Upper Deck Marvel Vibranium - Hero Pow-Ore Printing Plates Black,20,0,0,0,0
2017,2017 Upper Deck Marvel Guardians of the Galaxy Vol. 2 - Oversized 5x7,12,0,0,0,0
2026,Superfractor 1/30,1,0,0,0,0
2026,Superfractor 1/108,1,0,0,0,0
2023,2023 Upper Deck Marvel Doctor Strange in the Multiverse of Madness - Is There A Doctor In The House,20,0,0,0,0
2024,2024 Topps Chrome Sapphire Edition Marvel - Wolverine 50th Anniversary (Iconic Moments),5,0,0,0,0
2022,2022 Upper Deck Allure Marvel Studios - Nemesis,12,0,0,0,0
2025,2025 Topps Chrome Marvel - Iron Man Gold Gold Wave,10,0,0,0,0
2000,2000 Topps X-Men The Movie - 2000 Topps X-Men The Movie,11,0,0,0,0
2020,2020-21 Upper Deck Marvel Annual - Printing Plates Yellow,100,0,0,0,0
2024,2024 Upper Deck Marvel Guardians of the Galaxy Vol 3 - Vol. 3 Printing Plates Cyan,20,0,0,0,0
2018,2018 Fleer Ultra X-Men - Deadpool Around the World,10,0,0,0,0
2014,2014 Rittenhouse Marvel 75th Anniversary - Cut Comic Panels Bronze Age,2,0,0,0,0
2025,2025 Kakawow Aura Marvel - Marvel Iconic Debut Orange,6,0,0,0,0
1993,1993 Marvel Midnight Sons - 3-Up Panels,1,0,0,0,0
2023,2023 Finding Unicorn Marvel Infinity Saga Origin - Villains Die Cut,11,0,0,0,0
2010,2010 Upper Deck Iron Man 2 - Autographs,2,0,0,0,0
2023,2023 Upper Deck Funko Pop Marvel Infinity Saga - Funko Art Chase Sticker,15,0,0,0,0
2023,2023 Upper Deck Funko Pop Marvel Infinity Saga - Super Rare Variation Achievements,6,0,0,0,0
2023,2023 Upper Deck Marvel Platinum - Cover Variant Printing Plates Cyan,100,0,0,0,0
2024,2024 Upper Deck Marvel Guardians of the Galaxy Vol 3 - One Last Ride Printing Plates Yellow,7,0,0,0,0
2026,Fantastic Science,10,0,0,0,0
2017,2017 Fleer Ultra Marvel Spider-Man - Legacy Printing Plate Magenta,12,0,0,0,0
2023,2023 Upper Deck Marvel Doctor Strange in the Multiverse of Madness - Universes,10,0,0,0,0
2025,2025 Topps Chrome Marvel Studios - Agatha All Along Autographs Black Refractor,1,0,0,0,0
2024,2024 Upper Deck Marvel Allegiance Secret Wars - Printing Plates Cyan,89,0,0,0,0
2026,Superfractor 1/100,1,0,0,0,0
2025,2025 Kakawow Aura Marvel - The Legend of Iron Man Black,10,0,0,0,0
2024,2024 Upper Deck Marvel Studios Series 1 - Fluorescence Magenta,25,0,0,0,0
2026,Superfractor 1/134,1,0,0,0,0
2017,2017 Upper Deck Marvel Spider-Man Homecoming - Printing Plate Black,100,0,0,0,0
2023,2023 Upper Deck Marvel Platinum - Printing Plates Yellow,100,0,0,0,0
2023,2023 Upper Deck Marvel The Falcon and The Winter Soldier - Forged Vibranium Metal Duals,8,0,0,0,0
2019,2019 Upper Deck Marvel Spider-Man Far From Home - Travel Passports,10,0,0,0,0
2026,Superfractor,200,0,0,0,0
2012,2012 Upper Deck Marvel Beginnings S2 - Ultimate Panel Focus Cuts,11,0,0,0,0
2022,2022 Upper Deck Allure Marvel Studios - Infinity Stones Soul Stone Gold,19,0,0,0,0
2020,2020-21 Upper Deck Marvel Annual - Hologram Printing Plates Cyan,100,0,0,0,0
2011,2011 Upper Deck Marvel Beginnings S1 - Marvel Villains Hologram,42,0,0,0,0
2023,2023 Upper Deck Marvel Allegiance: The Infinity Trilogy - Printing Plates Black,87,0,0,0,0
2024,2024 Upper Deck Marvel Masterpieces Nahuel Grego - Canvas Gallery Printing Plates Magenta,10,0,0,0,0
2026,Chrome Autographs - Comic Creators,27,0,0,0,0
2025,2025 Kakawow Phantom Marvel Rivals - Rivals Refractor Gold,37,0,0,0,0
2023,2023 Upper Deck Marvel Allegiance: The Infinity Trilogy - Infinity Gems Reality,3,0,0,0,0
2024,2024 Upper Deck Marvel Studios Series 2: Cinematic - Printing Plates Cyan,99,0,0,0,0
2023,2023 Fleer Ultra Marvel Wolverine - X-23 Orange Foil,10,0,0,0,0
2023,2023 Upper Deck Marvel Platinum - Creator Art Variant Green Rainbow,10,0,0,0,0
2025,2025 Kakawow Aura Marvel - Green,80,0,0,0,0
2013,2013 Rittenhouse Women of Marvel Series 2 - Jean Grey Tribute Case Topper,3,0,0,0,0
2016,2016 Upper Deck Marvel Annual - Top 10 Issues Printing Plate Black,10,0,0,0,0
2019,2019-20 Upper Deck Marvel Annual - Battle Booklet Sketches,1,0,0,0,0
2022,2022 Fleer Ultra Marvel Avengers - Earth's Mightiest Spin-Offs Red Foil,11,0,0,0,0
2023,2023 Upper Deck Marvel Premier - Gold Spectrum Foil,50,0,0,0,0
2025,2025 Topps Chrome Marvel - Mask-Off Facsimile Autographs,3,0,0,0,0
2026,Dual Autographs - Gold,6,0,0,0,0
2025,2025 Kakawow Phantom Marvel Rivals - S1 Season Commemorative Gold,32,0,0,0,0
2026,Adversaries - Gold,20,0,0,0,0
1996,1996 Fleer/SkyBox Marvel Vision - Marvel Vision Tattoos,16,0,0,0,0
2017,2017 Upper Deck Marvel Guardians of the Galaxy Vol. 2 - Retail,50,0,0,0,0
2015,2015 Fleer Retro Marvel - 1995 Flair Prints Case-Toppers Printing Plate Cyan,1,0,0,0,0
2024,2024 Upper Deck Marvel Black Panther Wakanda Forever - Impressive Tech Red,15,0,0,0,0
2025,2025 Topps Chrome Sapphire Edition Marvel Studios - Sapphire Selections Purple Sapphire,10,0,0,0,0
2024,2024 Upper Deck Marvel Guardians of the Galaxy Vol 3 - Hello. We Come in Peace Printing Plates Black,1,0,0,0,0
2009,2009 Rittenhouse Spider-Man Archives - Foil,59,0,0,0,0
2026,Comic Book Artist Autographs - Gold,29,0,0,0,0
2024,2024 Upper Deck Marvel Spider-Man Renditions - Printing Plates Black,90,0,0,0,0
2017,2017 Upper Deck Marvel Spider-Man Homecoming - Webbed Threads Triple Memorabilia,1,0,0,0,0
2023,2023 Upper Deck Marvel What If…? - Flagship,1,0,0,0,0
2023,2023-24 Upper Deck Marvel Annual - Hologram Printing Plates Yellow,100,0,0,0,0
2019,2019-20 Upper Deck Marvel Annual - Number 1 Spot Printing Plates Magenta,25,0,0,0,0
2018,2018 Upper Deck Marvel Ant-Man and the Wasp - Royal Foil Achievement,1,0,0,0,0
2023,2023 Upper Deck Marvel Hawkeye - Blue,100,0,0,0,0
2023,2023 Upper Deck Marvel Shang-Chi and the Legend of the Ten Rings - Hidden Metal Relics Black Autographed Achievements,4,0,0,0,0
2020,2020 SkyBox Marvel Masterpieces - Printing Plates Black,100,0,0,0,0
2025,2025 Topps Chrome Sapphire Edition Marvel Studios - Green Sapphire,100,0,0,0,0
2026,Superfractor 1/99,1,0,0,0,0
2025,2025 Kakawow Aura Marvel - Aura Red Peacock,84,0,0,0,0
2016,2016 Upper Deck Marvel Masterpieces - Printing Plates Magenta,90,0,0,0,0
2017,2017 Upper Deck Marvel Thor Ragnarok - Mini Comics,10,0,0,0,0
2014,2014 Rittenhouse Marvel: Dangerous Divas 2 - Marvel Originals Artifex,9,0,0,0,0
2023,2023 Upper Deck Marvel Allegiance: The Infinity Trilogy - 2023 Upper Deck Marvel Allegiance: The Infinity Trilogy,1,0,0,0,1
2022,2022 Upper Deck Spider-Man: Into the Spider-Verse - In the Vault Mask Patches Manufactured Relics Ultimate Gold,1,0,0,0,0
2025,2025 Topps Chrome Marvel Studios - Agatha All Along Tarot Cards,7,0,0,0,0
2026,Superfractor 1/41,1,0,0,0,0
2012,2012 Upper Deck Marvel Beginnings S2 - Printing Plates Cyan,100,0,0,0,0
2012,2012 Upper Deck Marvel Premier - 2012 Upper Deck Marvel Premier,9,0,0,0,0
2023,2023 Fleer Ultra Marvel Midnight Sons - Spirits of Vengeance Red,9,0,0,0,0
2023,2023 Upper Deck Marvel Doctor Strange in the Multiverse of Madness - Ensemble Key,25,0,0,0,0
2025,2025 Topps Chrome Sapphire Edition Marvel - Red Sapphire,100,0,0,0,0
2015,2015 Upper Deck Marvel 3D - Artists Autographs,58,0,0,0,0
2019,2019-20 Upper Deck Marvel Annual - Sketch Artists,1,0,0,0,0
2024,2024 Upper Deck Marvel Guardians of the Galaxy Vol 3 - Colors and Contours Purple,15,0,0,0,0
2026,The One and Only: Stan Lee & Steve Ditko Superfractors,2,0,0,0,0
2026,Superfractor 1/69,1,0,0,0,0
2023,2023 Upper Deck Marvel Platinum - 1962,4,0,0,0,0
1996,1996 Comic Images Conan: The Marvel Years - Parallel,90,0,0,0,38
2024,2024 Upper Deck Marvel Studios Series 2: Cinematic - Outburst Gold,30,0,0,0,0
2024,2024 Finding Unicorn Marvel Comics Universe Evolution - Comics Puzzle G,9,0,0,0,0
2019,2019-20 Upper Deck Marvel Annual - Sketch Cards 2017 Update,1,0,0,0,0
2015,2015 Upper Deck Marvel 3D - 2015 Upper Deck Marvel 3D,18,0,0,0,0
2017,2017 Fleer Ultra Marvel Spider-Man - Team Ups Printing Plate Magenta,11,0,0,0,0
2024,2024 Upper Deck Marvel Studios Series 1 - Outburst,34,0,0,0,0
2021,2021-22 Upper Deck Marvel Annual - Battle Booklet Sketches Wolverine vs. Sabretooth,1,0,0,0,0
2025,2025 Topps Chrome Marvel Studios - New Avengers Logo Variation Red Refractor,25,0,0,0,0
2025,2025 Topps Chrome Sapphire Edition Marvel - Sapphire Selections Black,10,0,0,0,0
2024,2024 Upper Deck Marvel Beginnings Volume 2 Series 2 - Heavyweights Printing Plates Cyan,18,0,0,0,0
2024,2024 Upper Deck Marvel Masterpieces '92 Platinum - Precious Metal Gems Green,99,0,0,0,0
2025,2025 Kakawow Aura Marvel - Villains of Marvel Red,10,0,0,0,0
2025,2025 Topps Chrome Marvel - Golden Anniversaries Superfractor,5,0,0,0,0
2023,2023 Upper Deck Funko Pop Marvel Infinity Saga - Chase Sticker,100,0,0,0,0
2024,2024 Upper Deck Marvel Guardians of the Galaxy Vol 3 - Vol. 3 Black Speckle,20,0,0,0,0
2017,2017 Upper Deck Marvel Guardians of the Galaxy Vol. 2 - Mix Tape Dual Autographs,10,0,0,0,0
2024,2024 Upper Deck Marvel Guardians of the Galaxy Vol 3 - Cosmic Cartoons,7,0,0,0,0
2023,2023 Upper Deck Marvel Platinum - Iconic Covers Mosaic,25,0,0,0,0
2018,2018 Upper Deck Marvel Masterpieces - What If Printing Plates Black,90,0,0,0,0
2021,2021 Upper Deck Marvel Black Diamond - Diamond Relics,99,0,0,0,0
2020,2020 SkyBox Marvel Masterpieces - Holofoil,20,0,0,0,0
2017,2017 Upper Deck Marvel Guardians of the Galaxy Vol. 2 Walmart/Hanes - Red,50,0,0,0,0
2025,2025 Kakawow Aura Marvel - Marvel 80s Legends Cyan,2,0,0,0,0
2024,2024 Kakawow Marvel Heroes Joy Edition Spider-Man - SR,30,0,0,0,0
2018,2018-19 Upper Deck Marvel Annual - Top 10 Villains Printing Plates Yellow,10,0,0,0,0
2018,2018 Fleer Ultra X-Men - Deadpool Around the World Silver Foil,10,0,0,0,0
2022,2022 Upper Deck Allure Marvel Studios - Symmetry Autographs Printing Plates Magenta,14,0,0,0,0
2025,2025 Topps Chrome Sapphire Edition Marvel - Padparadscha Sapphire,100,0,0,0,0
2022,2022-23 Upper Deck Marvel Annual - Number 1 Spot Printing Plate Black,25,0,0,0,0
2023,2023 Finding Unicorn Marvel’s Avengers 60th Anniversary - Gold,63,0,0,0,0
2024,2024 Fleer Ultra Matriarchs of Marvel - Printing Plates Yellow,100,0,0,0,0
2019,2019 Upper Deck Marvel Premier - Red,3,0,0,0,0
2017,2017 Upper Deck Marvel Spider-Man Homecoming - Friend or Foe Printing Plate Black,9,0,0,0,0
2015,2015 Upper Deck Marvel Vibranium - Hero Pow-Ore Printing Plates Yellow,20,0,0,0,0
2024,2024 Upper Deck Marvel Masterpieces Nahuel Grego - Printing Plates Cyan,90,0,0,0,0
2024,2024 Fleer Ultra Matriarchs of Marvel - Medallions Platinum,50,0,0,0,0
2017,2017 Upper Deck Marvel Premier - Busts Achievement,3,0,0,0,0
2024,2024 Upper Deck Marvel Unbound Year 4 - Autograph,52,0,0,0,0
2024,2024 Upper Deck Marvel Guardians of the Galaxy Vol 3 - One Last Ride Printing Plates Magenta,7,0,0,0,0
2023,2023 Upper Deck Marvel Hawkeye - All Wrapped Up,10,0,0,0,0
2023,2023 Fleer Ultra Marvel Wolverine - Animation Cel Red Artist Autographs,97,0,0,0,0
2026,Superfractor 1/131,1,0,0,0,0
2015,2015 Upper Deck Marvel Dossier - 2015 Upper Deck Marvel Dossier,10,0,0,0,0
2011,2011 Rittenhouse Marvel: Dangerous Divas - Women of Marvel,12,0,0,0,0
2020,2020 Upper Deck Marvel Anime - Capsule Characters Gold,5,0,0,0,0
2024,2024 Upper Deck Marvel Guardians of the Galaxy Vol 3 - Ensemble Red,15,0,0,0,0
2007,2007 SkyBox Marvel Masterpieces - Subcasts,5,0,0,0,0
2025,2025 Topps Chrome Marvel Studios - Captain America: Brave New World Orange Refractor,25,0,0,0,0
2022,2022 SkyBox Marvel Masterpieces - Battle Spectrum Teal,15,0,0,0,0
2012,2012 Rittenhouse Marvel Bronze Age - Incentive Cards,1,0,0,0,0
2010,2010 Rittenhouse 70 Years of Marvel Comics - Sketch,96,0,0,0,0
2026,Superfractor 1/191,1,0,0,0,0
2023,2023 Upper Deck Marvel Anime Vol. 2 - Hanafuda Autographed Booklet Redemptions,12,0,0,0,0
2024,2024 Topps Chrome Sapphire Edition Marvel - Authentic Marvel Comic Book Artist Autograph Cards Gold Sapphire,4,0,0,0,0
2025,2025 Kakawow Aura Marvel - Infinite Moments Black,3,0,0,0,0
2025,2025 Kakawow Phantom Marvel Rivals - Orange,37,0,0,0,0
2025,2025 Topps Chrome Marvel - Galactic Legends Red Wave,10,0,0,0,0
2024,2024 Topps Chrome Marvel - Topps Patrimony Red Refractor,10,0,0,0,0
2025,2025 Kakawow Phantom Marvel Rivals - Rivals Refractor Black,37,0,0,0,0
2024,2024 Upper Deck Marvel Masterpieces '92 Platinum - Precious Metal Gems Gold,97,0,0,0,0
2018,2018 Upper Deck Marvel Ant-Man and the Wasp - Behind the Lens Printing Plates Magenta,15,0,0,0,0
2020,2020 Upper Deck Marvel Anime - Stax Middle Layer,15,0,0,0,0
2024,2024 SkyBox Metal Universe Marvel Avengers - Metal-X,98,0,0,0,0
2015,2015 Rittenhouse Marvel: Agents of S.H.I.E.L.D. Season 2 - Art of Evolution,12,0,0,0,0
1994,1994 Fleer Marvel Universe - Jumbo Suspended Animation,1,0,0,0,0
2025,2025 Topps Chrome Marvel - Galactic Legends Orange Lava,10,0,0,0,0
2014,2014 Upper Deck Marvel Premier - Emotion Printing Plates Black,18,0,0,0,0
2013,2013 Upper Deck Iron Man 3 - Printing Plate Cyan,60,0,0,0,0
2024,2024 Upper Deck Marvel Masterpieces Nahuel Grego - Metallurgy,90,0,0,0,0
2023,2023 Upper Deck Marvel Shang-Chi and the Legend of the Ten Rings - Red,70,0,0,0,0
2022,2022 Upper Deck Spider-Man: Into the Spider-Verse - Spider-Sigs Torso Printing Plates Cyan,1,0,0,0,0
2024,2024 Upper Deck Marvel Guardians of the Galaxy Vol 3 - Green,75,0,0,0,0
2015,2015 Rittenhouse Marvel: Agents of S.H.I.E.L.D. Season 1 - Autographs - Full Bleed,1,0,0,0,0
2013,2013 Rittenhouse Women of Marvel Series 2 - Sketches,1,0,0,0,0
2025,2025 Topps Chrome Marvel - Hidden Gems Blue,5,0,0,0,0
2024,2024 Upper Deck Marvel Guardians of the Galaxy Vol 3 - Vol. 3 Speckle Autographs,14,0,0,0,0
2025,Deadpool Reflections,2,0,0,0,0
2024,2024 Upper Deck Marvel Guardians of the Galaxy Vol 3 - Stop Motion,10,0,0,0,0
2026,Superfractor 1/9,1,0,0,0,0
2025,2025 Topps Chrome Marvel - The New Avengers 20th Anniversary Black,10,0,0,0,0
2026,Base Negative Zone,100,0,0,0,0
2024,2024 Upper Deck Marvel Studios Series 1 - Dazzlers Pink,5,0,0,0,0
2023,2023 Upper Deck Marvel Loki Season 1 - For All Time. Always Printing Plates Yellow,18,0,0,0,0
2022,2022 Fleer Ultra Marvel Avengers - Greatest Battles Printing Plates Yellow,13,0,0,0,0
2023,2023 Upper Deck Marvel Eternals - Stars Are Eternal Metal,10,0,0,0,0
2018,2018 Upper Deck Marvel's The Defenders - Back From the Dead,15,0,0,0,0
2023,2023 Upper Deck Marvel Hawkeye - Trick Shots Red,15,0,0,0,0
2011,2011 Upper Deck Marvel Beginnings S1 - Printing Plates Yellow,100,0,0,0,0
2017,2017 Fleer Ultra Marvel Spider-Man - Milestones Printing Plate Cyan,12,0,0,0,0
2023,2023 Upper Deck Spider-Man: No Way Home - Blue & White Foil,40,0,0,0,0
2022,2022 Fleer Ultra Marvel Avengers - Checkmate White Jason Juta Artist Auto,16,0,0,0,0
2023,2023 Upper Deck Marvel Hawkeye - Trial by Combat Autographs,1,0,0,0,0
2015,2015 Upper Deck Marvel 3D - Autographs Game Designer Devin Low,18,0,0,0,0
2023,2023 Upper Deck Spider-Man: No Way Home - In Action Gold Foil,15,0,0,0,0
2020,2020-21 Upper Deck Marvel Annual - Star Rookies Classic Achievements,8,0,0,0,0
2024,2024 Upper Deck Marvel Guardians of the Galaxy Vol 3 - Yellow,75,0,0,0,0
2023,2023 Upper Deck Marvel Allegiance: The Infinity Trilogy - Spectromatic,9,0,0,0,0
2026,Superfractor 1/122,1,0,0,0,0
2023,2023 Flair Marvel - Iridescence Blue Achievements,30,0,0,0,0
2017,2017 Upper Deck Marvel Premier - Busts Die Cut Gold LTFX,8,0,0,0,0
2023,2023 Finding Unicorn Marvel’s Avengers 60th Anniversary - Pink,63,0,0,0,0
2023,2023 Upper Deck Marvel Platinum - Creator Art Variant Black Rainbow,10,0,0,0,0
2025,2025 Kakawow Aura Marvel - Script Art Double Black,4,0,0,0,0
2017,2017 Upper Deck Marvel Annual - Top 10 Heroes Printing Plates Yellow,10,0,0,0,0
2020,2020 Upper Deck Marvel Anime - Red Foil Artist Auto,90,0,0,0,0
2026,Concept Art - Red,20,0,0,0,0
2022,2022 Upper Deck Marvel Unbound - Printing Plates Cyan,52,0,0,0,0
2022,2022 Upper Deck Allure Marvel Studios - Infinity Stones Reality Stone Gold,20,0,0,0,0
2015,2015 Rittenhouse Marvel The Avengers Silver Age - Case Toppers,3,0,0,0,0
2017,2017 Fleer Ultra Marvel Spider-Man - Legacy Printing Plate Yellow,12,0,0,0,0
2025,2025 Topps Chrome Marvel Studios - TVA Pruning Gold Shimmer Refractor,25,0,0,0,0
2024,2024 Topps Chrome Sapphire Edition Marvel - Sapphire Selections Red Sapphire,1,0,0,0,0
2024,2024 Upper Deck Marvel Studios Series 1 - UD Canvas,21,0,0,0,0
2024,2024 Upper Deck Marvel Beginnings Volume 2 Series 2 - Printing Plates Magenta,100,0,0,0,0
2016,2016 Upper Deck Marvel Annual - Top 10 Story Arcs Printing Plate Magenta,10,0,0,0,0
2025,2025 Topps Chrome Marvel - Indestructible Black Lazer Refractor,10,0,0,0,0
2024,2024 SkyBox Metal Universe Marvel Avengers - Spectrum FX,100,0,0,0,0
2025,2025 Kakawow Phantom Marvel Rivals - Magazine,37,0,0,0,0
2025,2025 Topps Chrome Marvel - Air Marvel Superfractor,10,0,0,0,0
2022,2022 Upper Deck Allure Marvel Studios - Infinity Stones Reality Stone,20,0,0,0,0
2025,2025 Topps Chrome Marvel Studios - Prism Refractor,98,0,0,0,2
2019,2019 Flair Marvel - Pieces of Flair Comic Corner Patches,37,0,0,0,0
2023,2023 Upper Deck Marvel Wandavision - 1950s Classic Sitcom Signatures,5,0,0,0,0
2024,2024 Upper Deck Marvel Unbound - Printing Plate Black,52,0,0,0,0
2026,Superfractor 1/52,1,0,0,0,0
2026,Tribute to 1996 Finest Phenoms - Gold Refractor,100,0,0,0,0
2023,2023 Upper Deck Marvel The Falcon and The Winter Soldier - Who Will Wield the Shield? Printing Plates Cyan,6,0,0,0,0
2017,2017 Upper Deck Marvel Annual - Printing Plate Yellow,100,0,0,0,0
2025,2025 Topps Chrome Marvel - Blue & Red Spider Web,100,0,0,0,0
2026,Superfractor 1/119,1,0,0,0,0
2021,2021-22 Upper Deck Marvel Annual - Battle Booklet Sketches Silver Surfer vs. Galactus,1,0,0,0,0
2025,2025 Topps Chrome Marvel Studios - Avengers Shadowbox Black Refractor,16,0,0,0,0
2021,2021 SkyBox Metal Universe Marvel Spider-Man - Pink Light FX,40,0,0,0,0
2016,2016 Upper Deck Marvel Annual - Top 10 Issues Printing Plate Cyan,10,0,0,0,0
2024,2024 Upper Deck Marvel Spider-Man Renditions - Marvel Universe Impel Printing Plates Magenta,2,0,0,0,0
2024,2024 SkyBox Metal Universe Marvel Avengers - Orange FX,187,0,0,0,0
2023,2023 Upper Deck Marvel Thor Love and Thunder - Friends from Work,15,0,0,0,0
2024,2024 Upper Deck Marvel Guardians of the Galaxy Vol 3 - One Last Ride Black Speckle,7,0,0,0,0
2024,2024 Fleer Throwbacks '59-63 Marvel Edition - Printing Plate Magenta,60,0,0,0,0
2025,2025 Kakawow Aura Marvel - Purple,83,0,0,0,0
2024,2024 Finding Unicorn Marvel Comics Universe Evolution - Team-Ups Gold,18,0,0,0,0
2024,2024 Upper Deck Marvel Beginnings Volume 2 Series 2 - Printing Plates Black,100,0,0,0,0
2025,Shattered Holo,99,0,0,0,0
2021,2021 SkyBox Metal Universe Marvel X-Men - 1995 Marvel Metal Buybacks,100,0,0,0,0
2014,2014 Panini Marvel Ultimate Spider-Man Stickers - Special Stickers,24,0,0,0,0
1997,1997 Fleer Spider-Man - Marvel OverPower Special Characters,1,0,0,0,0
2026,Superfractor 1/26,1,0,0,0,0
2026,Quad Autographs,2,0,0,0,0
2024,2024 Fleer Throwbacks '59-63 Marvel Edition - 1961-62 Fleer Green,21,0,0,0,0
2024,2024 Upper Deck Marvel Masterpieces Nahuel Grego - Framed Masterpieces Silver,90,0,0,0,0
2023,2023-24 Upper Deck Marvel Annual - Premieres,4,0,0,0,1
2010,2010 Upper Deck Iron Man 2 - Actors Die Cut,2,0,0,0,0
2026,Superfractor 1/46,1,0,0,0,0
2022,"2022 Upper Deck Marvel Beginnings Volume 2, Series 1 - Transparent Past",60,0,0,0,0
2020,2020 Upper Deck Marvel's Runaways - Sketches 4-Piece Puzzles,1,0,0,0,0
2018,2018 Fleer Ultra X-Men - Dead and Gone Red Foil Artist Autographs,8,0,0,0,0
2024,2024 Upper Deck Women of Marvel - Foil Lt Fx - Green,63,0,0,0,0
2025,2025 Topps Chrome Marvel - Indestructible Red Lazer Refractor,10,0,0,0,0
2025,2025 Topps Finest X-Men '97 - Greatest Hits,2,0,0,0,0
2024,2024 Upper Deck Marvel Guardians of the Galaxy Vol 3 - It’s a Face Off,10,0,0,0,0
2025,2025 Kakawow Aura Marvel - Marvel 80s Legends Blue,6,0,0,0,0
2024,2024 Upper Deck Marvel Masterpieces Nahuel Grego - Printing Plates Magenta,90,0,0,0,0
2017,2017 Upper Deck Marvel Annual - Printing Plate Cyan,100,0,0,0,0
2023,2023 Finding Unicorn Marvel Infinity Saga Origin - Printing Plates Black,100,0,0,0,0
2025,2025 Topps Chrome Marvel - Marvel Comics Facsimile Autographs Superfractor,4,0,0,0,0
2026,Superfractor 1/31,1,0,0,0,0
2025,2025 Kakawow Aura Marvel - Cyan,83,0,0,0,0
2011,2011 Upper Deck Marvel Beginnings S1 - Sketch Cards,1,0,0,0,0
2022,2022-23 Upper Deck Marvel Annual - Holograms Printing Plate Black,85,0,0,0,0
2025,2025 Topps Chrome Marvel - 35 Years of Ghost Rider Superfractor,5,0,0,0,0
2016,2016 Upper Deck Marvel Masterpieces - What If... - Printing Plates Magenta,90,0,0,0,0
2018,2018 Fleer Ultra X-Men - Dead and Gone Gold Foil,10,0,0,0,0
2020,2020-21 Upper Deck Marvel Annual - Number 1 Spot Printing Plate Achievements Cyan,25,0,0,0,0
2022,2022-23 Upper Deck Marvel Annual - Top Teams Printing Plate Black,10,0,0,0,0
2022,2022-23 Upper Deck Marvel Annual - Purple,93,0,0,0,0
2023,2023 Upper Deck Marvel Doctor Strange in the Multiverse of Madness - Ensemble Magneta,25,0,0,0,0
2026,Superfractor 1/25,1,0,0,0,0
2026,Dual Autographs - SuperFractor,6,0,0,0,0
2012,2012 Upper Deck Marvel Premier - Printing Plates Magenta,50,0,0,0,0
2024,2024 Fleer Ultra Matriarchs of Marvel - Medallions Purple Amethyst,50,0,0,0,0
2023,2023 Upper Deck Marvel Wandavision - We Interrupt This Program Acetate,10,0,0,0,0
2017,2017 Upper Deck Marvel Annual - Top 10 Heroes Printing Plates Magenta,10,0,0,0,0
2026,Superfractor 1/188,1,0,0,0,0
2007,2007 SkyBox Marvel Masterpieces - Splash Pages,9,0,0,0,0
2021,2021 Upper Deck Marvel Black Diamond - Gold Autographs Red Variant,30,0,0,0,0
2024,2024 Fleer Ultra Matriarchs of Marvel - Medallions Emerald Green,50,0,0,0,0
2024,2024 Upper Deck Marvel Studios Series 2: Cinematic - Printing Plates Black,99,0,0,0,0
2012,2012 Upper Deck Marvel Premier - Sketches,1,0,0,0,0
2019,2019 Flair Marvel - Anti-Matter Achievements,1,0,0,0,0
