productId,name,imageUrl,price,platform
6529644,"Spider-Man [Amber Crystals] #153",,470000,"Marvel 2023 Upper Deck Platinum"
5077220,"Gambit #17",,253,"Marvel 1991 Universe"
5606926,"Copycat #12",,99,"Marvel 1995 Ultra X-Men"
5078365,"Hulk [Silver Holofoil] #4",,372,"Marvel 1994 Masterpieces"
5077216,"Iron Man #13",,199,"Marvel 1991 Universe"
5077209,"Sub-Mariner #6",,352,"Marvel 1991 Universe"
5078752,"Magneto #XH-4",,499,"Marvel 1992 X-Men Series 1 Hologram"
5079463,"Spider-Man #15",,1046,"Marvel 1994 Flair Power Blast"
5079445,"Wolverine [Mutant Genesis]",,469,"Marvel 1994 Flair"
5078357,"Carnage [Silver Holofoil] #2",,560,"Marvel 1994 Masterpieces"
5077065,"Silver Surfer #32",,199,"Marvel 1990 Universe"
5079468,"Spider-Man #1",,1439,"Marvel 1994 Universe Hologram"
5077051,"Thor #18",,199,"Marvel 1990 Universe"
5078629,"Deadpool #43",,629,"Marvel 1992 X-Men Series 1"
5077064,"Captain America #31",,169,"Marvel 1990 Universe"
5077256,"Hulk #53",,196,"Marvel 1991 Universe"
5077338,"Infinity Gauntlet #134",,156,"Marvel 1991 Universe"
5077140,"Spider-Man vs. Venom #106",,199,"Marvel 1990 Universe"
6869776,"Mephisto [Diamond Preview] #78",,0,"Marvel 1990 Universe"
5077037,"Daredevil #4",,200,"Marvel 1990 Universe"
5077070,"Wolverine #37",,215,"Marvel 1990 Universe"
5078754,"X-Men #XH-5",,520,"Marvel 1992 X-Men Series 1 Hologram"
8357028,"Magneto [Golden Treasures] #49",,293333,"Marvel 2024 SkyBox Masterpieces ’92 Platinum"
5077294,"Spider-Man vs. Venom #91",,188,"Marvel 1991 Universe"
5077484,"Venom #108",,273,"Marvel 1992 Universe"
5607913,"Venom #9",,809,"Marvel 1995 Ultra Spider-Man Masterpieces"
5606754,"Cyclops #1",,151,"Marvel 1994 Ultra X-Men"
5077275,"Annihilus #72",,256,"Marvel 1991 Universe"
5078288,"Magneto #39",,231,"Marvel 1993 Masterpieces"
5078088,"Hulk #32",,288,"Marvel 1992 Masterpieces"
5077150,"Silver Surfer vs. Thanos #116",,199,"Marvel 1990 Universe"
7272800,"Fantastic Four vs Mole Man [Hologram] #H-5",,450,"Marvel 1991 Universe"
8356312,"Captain America [Precious Metal Gems Red] #16",,89900,"Marvel 2024 SkyBox Masterpieces ’92 Platinum"
6714637,"Wolverine #7",,485,"Marvel 1995 Ultra X-Men Hunters Stalkers"
5079442,"Spider-Man [Part V]",,398,"Marvel 1994 Flair"
8576294,"Impossible Man [Purple Rainbow Reality] #10",,9000,"Marvel 2022 Beginnings: Vol 2: Series 1"
5234550,"Wolverine [Silver Flasher] #125",,527,"Marvel 1995 Metal"
5078229,"Silver Surfer vs. Thanos #2-D",,799,"Marvel 1992 Masterpieces Battle Spectra"
5078294,"Venom #45",,199,"Marvel 1993 Masterpieces"
5077625,"Deadpool #28",,188,"Marvel 1993 Universe"
5078750,"Gambit #XH-3",,581,"Marvel 1992 X-Men Series 1 Hologram"
7903961,"Punisher / Psylocke [Double Impact] #2",,37465,"Marvel 1996 Masterpieces"
