Category,SetNumber/ID,Year,Name,MatchedWith,Similarity
EXACT_MATCH,CSV#1828,2020,"2020 Upper Deck Marvel Ages - Comic Clippings Coinage","Marvel 2020 Upper Deck Ages Comic Clippings Coinage (ID:2191)",100%
EXACT_MATCH,CSV#1829,2020,"2020 Upper Deck Marvel Ages - Decades 1960s","Marvel 2020 Upper Deck Ages Decades 1960s (ID:2189)",100%
EXACT_MATCH,CSV#1830,2020,"2020 Upper Deck Marvel Ages - Decades 1970s","Marvel 2020 Upper Deck Ages Decades 1970s (ID:2188)",100%
EXACT_MATCH,CSV#1831,2020,"2020 Upper Deck Marvel Ages - Decades 1980s","Marvel 2020 Upper Deck Ages Decades 1980s (ID:2190)",100%
EXACT_MATCH,CSV#1832,2020,"2020 Upper Deck Marvel Ages - Decades 1990s","Marvel 2020 Upper Deck Ages Decades 1990s (ID:2185)",100%
EXACT_MATCH,CSV#1833,2020,"2020 Upper Deck Marvel Ages - Decades 2000s","Marvel 2020 Upper Deck Ages Decades 2000s (ID:2183)",100%
EXACT_MATCH,CSV#1834,2020,"2020 Upper Deck Marvel Ages - Decades 2010s","Marvel 2020 Upper Deck Ages Decades 2010s (ID:2195)",100%
EXACT_MATCH,CSV#1835,2020,"2020 Upper Deck Marvel Ages - Flavorful","Marvel 2020 Upper Deck Ages Flavorful (ID:2180)",100%
EXACT_MATCH,CSV#1836,2020,"2020 Upper Deck Marvel Ages - Fresnel","Marvel 2020 Upper Deck Ages Fresnel (ID:2187)",100%
EXACT_MATCH,CSV#1837,2020,"2020 Upper Deck Marvel Ages - Gamerverse","Marvel 2020 Upper Deck Ages Gamerverse (ID:2194)",100%
EXACT_MATCH,CSV#1841,2020,"2020 Upper Deck Marvel Ages - Metal Relics Copper","Marvel 2020 Upper Deck Ages Copper Metal Relics (ID:2192)",100%
EXACT_MATCH,CSV#1846,2020,"2020 Upper Deck Marvel Ages - Saturday Morning Cartoons","Marvel 2020 Upper Deck Ages Saturday Morning Cartoons (ID:2197)",100%
EXACT_MATCH,CSV#1848,2020,"2020 Upper Deck Marvel Ages - Totally Toys","Marvel 2020 Upper Deck Ages Totally Toys (ID:2196)",100%
EXACT_MATCH,CSV#1849,2020,"2020 Upper Deck Marvel Ages - Word Cloud","Marvel 2020 Upper Deck Ages Word Cloud (ID:2184)",100%
EXACT_MATCH,CSV#2453,2023,"2023 Flair Marvel - Acrylic Aether","Acrylic Aether (ID:2175)",100%
EXACT_MATCH,CSV#2458,2023,"2023 Flair Marvel - Carved","Carved (ID:2171)",100%
EXACT_MATCH,CSV#2460,2023,"2023 Flair Marvel - Fall","marvel 2023 flair Fall Flair (ID:1627)",100%
EXACT_MATCH,CSV#2466,2023,"2023 Flair Marvel - Iridescence","Iridescence (ID:2174)",100%
EXACT_MATCH,CSV#2568,2023,"2023 Fleer Ultra Marvel Wolverine","marvel 2023 fleer ultra wolverine (ID:1628)",100%
EXACT_MATCH,CSV#2570,2023,"2023 Fleer Ultra Marvel Wolverine - Adamantium","marvel 2023 fleer ultra wolverine adamantium (ID:1629)",100%
EXACT_MATCH,CSV#2571,2023,"2023 Fleer Ultra Marvel Wolverine - Adamantium Red","marvel 2023 fleer ultra wolverine adamantium Red (ID:1630)",100%
EXACT_MATCH,CSV#2572,2023,"2023 Fleer Ultra Marvel Wolverine - Aliases","marvel 2023 fleer ultra wolverine aliases (ID:1631)",100%
EXACT_MATCH,CSV#2573,2023,"2023 Fleer Ultra Marvel Wolverine - Aliases Blue Foil","marvel 2023 fleer ultra wolverine aliases Blue Foil (ID:1632)",100%
EXACT_MATCH,CSV#2574,2023,"2023 Fleer Ultra Marvel Wolverine - Aliases Gold Spectrum Foil","marvel 2023 fleer ultra wolverine aliases Gold Spectrum Foil (ID:1633)",100%
EXACT_MATCH,CSV#2575,2023,"2023 Fleer Ultra Marvel Wolverine - Aliases Green Foil","marvel 2023 fleer ultra wolverine aliases Green Foil (ID:1634)",100%
EXACT_MATCH,CSV#2576,2023,"2023 Fleer Ultra Marvel Wolverine - Aliases Orange Foil","marvel 2023 fleer ultra wolverine aliases Orange Foil (ID:1635)",100%
EXACT_MATCH,CSV#2581,2023,"2023 Fleer Ultra Marvel Wolverine - Aliases Yellow Foil","marvel 2023 fleer ultra wolverine aliases Yellow Foil (ID:1637)",100%
EXACT_MATCH,CSV#2582,2023,"2023 Fleer Ultra Marvel Wolverine - Animation Cel","marvel 2023 fleer ultra wolverine animation cel (ID:1638)",100%
EXACT_MATCH,CSV#2585,2023,"2023 Fleer Ultra Marvel Wolverine - Blue Foil","marvel 2023 fleer ultra wolverine Blue Foil (ID:1640)",100%
EXACT_MATCH,CSV#2587,2023,"2023 Fleer Ultra Marvel Wolverine - Claw Cut Covers","marvel 2023 fleer ultra wolverine claw cut covers (ID:1641)",100%
EXACT_MATCH,CSV#2588,2023,"2023 Fleer Ultra Marvel Wolverine - Comic Cuts","marvel 2023 fleer ultra wolverine comic cuts (ID:1642)",100%
EXACT_MATCH,CSV#2591,2023,"2023 Fleer Ultra Marvel Wolverine - eX Century","marvel 2023 fleer ultra wolverine ex century (ID:1643)",100%
EXACT_MATCH,CSV#2592,2023,"2023 Fleer Ultra Marvel Wolverine - eX Century Essential Credentials Future","marvel 2023 fleer ultra wolverine ex century Essential Credentials Future (ID:1644)",100%
EXACT_MATCH,CSV#2593,2023,"2023 Fleer Ultra Marvel Wolverine - eX Century Essential Credentials Now","marvel 2023 fleer ultra wolverine ex century Essential Credentials Now (ID:1645)",100%
EXACT_MATCH,CSV#2594,2023,"2023 Fleer Ultra Marvel Wolverine - Family Genealogy","marvel 2023 fleer ultra wolverine family genealogy (ID:1646)",100%
EXACT_MATCH,CSV#2596,2023,"2023 Fleer Ultra Marvel Wolverine - Gold Spectrum Foil","marvel 2023 fleer ultra wolverine Gold Spectrum Foil (ID:1647)",100%
