card_sets_id,year,name,main_set_name,card_count
2168,2025,"Captain America [VirtualVision]","",0
2160,2025,"Wolverine [Toy Biz Promo]","",0
2164,2025,"Secret Lair X Marvel's Deadpool [Rainbow Foil]","",0
2166,2025,"Wolverine [VirtualVision]","",0
2163,2025,"Hulk [Promo]","",0
2167,2025,"Captain America","",0
2170,2025,"Fantastic Four [Mini-Magazines]","",0
2162,2025,"Spider-Man [Part V]","",0
2169,2025,"Hulk [VirtualVision]","",0
2161,2025,"Wolverine [Mutant Genesis]","",0
2165,2025,"Spider-Man Vs. Doctor Octopus [Battle Spectra]","",0
