legacy_set_id,legacy_name,legacy_year,legacy_main_set_id,legacy_main_set_name,legacy_card_count,suggested_canonical_set_id,suggested_canonical_name,suggested_confidence,reason
2060,"marvel 2024 upper deck spider man battle time Gold",2024,,,25,6112,"2024 Upper Deck Marvel Spider-Man - Battle Time Gold",99,subset_term_match_105%
2061,"marvel 2024 upper deck spider man battle time Green",2024,,,25,6113,"2024 Upper Deck Marvel Spider-Man - Battle Time Green",100,token_overlap_100%
2063,"marvel 2024 upper deck spider man battle time Red",2024,,,25,6115,"2024 Upper Deck Marvel Spider-Man - Battle Time Red",100,token_overlap_100%
1366,"marvel 2018 masterpieces Gold Foil Signatures",2018,56,"Marvel 2018 Masterpieces ",25,3777,"2018 Upper Deck Marvel Masterpieces - Gold Foil",81,subset_term_match_81%
1418,"marvel 2021 upper deck annual number 1 spot",2021,,,25,4315,"2021-22 Upper Deck Marvel Annual - Number 1 Spot",88,token_overlap_88%
1598,"marvel 2022 upper deck annual number 1 spot",2022,,,25,4557,"2022-23 Upper Deck Marvel Annual - Number 1 Spot",88,token_overlap_88%
1732,"marvel 2023 upper deck anime volume 2 power level",2023,68,"Marvel 2023 Upper Deck Anime Volume 2",25,5015,"2023 Upper Deck Marvel Anime Vol. 2 - Power Level",88,token_overlap_88%
1751,"marvel 2023 upper deck annual number 1 spot",2023,,,25,5520,"2023-24 Upper Deck Marvel Annual - Number 1 Spot",88,token_overlap_88%
1758,"marvel 2023 upper deck annual summer of symbiotes",2023,,,25,5532,"2023-24 Upper Deck Marvel Annual - Summer of Symbiotes",89,token_overlap_89%
1795,"marvel 2023 upper deck platinum duos",2023,69,"Marvel 2023 Upper Deck Platinum",25,5266,"2023 Upper Deck Marvel Platinum - Platinum Duos",100,token_overlap_100%
1796,"marvel 2023 upper deck platinum duos Rainbow",2023,69,"Marvel 2023 Upper Deck Platinum",25,5268,"2023 Upper Deck Marvel Platinum - Platinum Duos Rainbow",100,token_overlap_100%
1799,"marvel 2023 upper deck platinum iconic covers",2023,69,"Marvel 2023 Upper Deck Platinum",25,5260,"2023 Upper Deck Marvel Platinum - Iconic Covers",100,token_overlap_100%
1811,"marvel 2023 upper deck platinum super statistics",2023,69,"Marvel 2023 Upper Deck Platinum",25,5282,"2023 Upper Deck Marvel Platinum - Super Statistics",100,token_overlap_100%
1812,"marvel 2023 upper deck platinum super statistics Rainbow",2023,69,"Marvel 2023 Upper Deck Platinum",25,5284,"2023 Upper Deck Marvel Platinum - Super Statistics Rainbow",100,token_overlap_100%
2048,"marvel 2024 upper deck avengers battle time",2024,75,"Marvel 2024 Upper Deck Avengers ",25,5826,"2024 Upper Deck Marvel Avengers - Battle Time",100,token_overlap_100%
1439,"marvel 2021 x men metal universe platinum portraits",2021,59,"Marvel 2021 X-Men metal Universe ",23,4223,"2021 SkyBox Metal Universe Marvel X-Men - Platinum Portraits",93,subset_term_match_93%
1075,"2024 skybox metal universe avengers arc weld",2024,4,"2024 Skybox Metal Universe Avengers ",22,5660,"2024 SkyBox Metal Universe Marvel Avengers - Arc Weld",93,subset_term_match_93%
1077,"2024 skybox metal universe avengers blast furnace",2024,4,"2024 Skybox Metal Universe Avengers ",22,5661,"2024 SkyBox Metal Universe Marvel Avengers - Blast Furnace",93,subset_term_match_93%
1203,"marvel 1995 masterpieces canvas",1995,25,"Marvel 1995 Masterpieces ",22,2698,"1995 Fleer Marvel Masterpieces - Canvas",80,token_overlap_80%
1648,"marvel 2023 fleer ultra wolverine greatest battles",2023,66,"Marvel 2023 Fleer Ultra Wolverine ",22,4795,"2023 Fleer Ultra Marvel Wolverine - Greatest Battles",100,token_overlap_100%
1649,"marvel 2023 fleer ultra wolverine greatest battles Blue Foil",2023,66,"Marvel 2023 Fleer Ultra Wolverine ",22,4796,"2023 Fleer Ultra Marvel Wolverine - Greatest Battles Blue Foil",99,subset_term_match_105%
1650,"marvel 2023 fleer ultra wolverine greatest battles Gold Spectrum Foil",2023,66,"Marvel 2023 Fleer Ultra Wolverine ",22,4797,"2023 Fleer Ultra Marvel Wolverine - Greatest Battles Gold Spectrum Foil",99,subset_term_match_110%
1651,"marvel 2023 fleer ultra wolverine greatest battles Green Foil",2023,66,"Marvel 2023 Fleer Ultra Wolverine ",22,4798,"2023 Fleer Ultra Marvel Wolverine - Greatest Battles Green Foil",99,subset_term_match_105%
1652,"marvel 2023 fleer ultra wolverine greatest battles Orange Foil",2023,66,"Marvel 2023 Fleer Ultra Wolverine ",22,4799,"2023 Fleer Ultra Marvel Wolverine - Greatest Battles Orange Foil",99,subset_term_match_105%
1654,"marvel 2023 fleer ultra wolverine greatest battles Yellow Foil",2023,66,"Marvel 2023 Fleer Ultra Wolverine ",22,4801,"2023 Fleer Ultra Marvel Wolverine - Greatest Battles Yellow Foil",99,subset_term_match_110%
1435,"marvel 2021 x men metal universe planet metal",2021,59,"Marvel 2021 X-Men metal Universe ",20,4219,"2021 SkyBox Metal Universe Marvel X-Men - Planet Metal",91,subset_term_match_91%
1401,"marvel 2020 upper deck annual impact",2020,58,"Marvel 20-21 Upper Deck Annual ",20,4134,"2020-21 Upper Deck Marvel Annual - Annual Impact",86,token_overlap_86%
1073,"2024 skybox metal universe avengers a soldier's metal",2024,4,"2024 Skybox Metal Universe Avengers ",20,5654,"2024 SkyBox Metal Universe Marvel Avengers",88,subset_term_match_88%
1098,"2024 skybox metal universe avengers planet metal iron armor",2024,4,"2024 Skybox Metal Universe Avengers ",20,5679,"2024 SkyBox Metal Universe Marvel Avengers - Planet Metal Iron Armor",94,subset_term_match_94%
1099,"2024 skybox metal universe avengers planet metal iron armor Copper",2024,4,"2024 Skybox Metal Universe Avengers ",20,5680,"2024 SkyBox Metal Universe Marvel Avengers - Planet Metal Iron Armor Copper",95,subset_term_match_95%
1100,"2024 skybox metal universe avengers planet metal iron armor Gold",2024,4,"2024 Skybox Metal Universe Avengers ",20,5681,"2024 SkyBox Metal Universe Marvel Avengers - Planet Metal Iron Armor Gold",99,subset_term_match_100%
1101,"2024 skybox metal universe avengers planet metal iron armor Platinum",2024,4,"2024 Skybox Metal Universe Avengers ",20,5682,"2024 SkyBox Metal Universe Marvel Avengers - Planet Metal Iron Armor Platinum",95,subset_term_match_95%
1195,"marvel 1994 universe Suspended Animation",1994,22,"Marvel 1994 Universe ",20,2676,"1994 Fleer Marvel Universe - Suspended Animation",83,token_overlap_83%
1424,"marvel 2021 upper deck annual splash ticular",2021,,,20,4326,"2021-22 Upper Deck Marvel Annual - Splash-ticular",88,token_overlap_88%
1436,"marvel 2021 x men metal universe planet metal Copper",2021,59,"Marvel 2021 X-Men metal Universe ",20,4220,"2021 SkyBox Metal Universe Marvel X-Men - Planet Metal Copper",93,subset_term_match_93%
