legacy_set_id,legacy_name,legacy_year,legacy_main_set_id,legacy_main_set_name,legacy_card_count,suggested_canonical_set_id,suggested_canonical_name,suggested_confidence,reason
1595,"marvel 2022 upper deck annual Hologram Printing Plate",2022,,,100,4551,"2022-23 Upper Deck Marvel Annual - Holograms Printing Plate Black",75,subset_term_match_75%
1599,"marvel 2022 upper deck annual Printing Plate",2022,,,100,4551,"2022-23 Upper Deck Marvel Annual - Holograms Printing Plate Black",78,subset_term_match_78%
1603,"marvel 2022 upper deck annual Silver Sparkle Printing Plate",2022,,,100,4572,"2022-23 Upper Deck Marvel Annual - Silver Sparkle",78,token_overlap_78%
1619,"marvel 2023 eternals Blue",2023,,,100,5072,"2023 Upper Deck Marvel Eternals - Blue",67,token_overlap_67%
1621,"marvel 2023 eternals Green",2023,,,100,5086,"2023 Upper Deck Marvel Eternals - Green",67,token_overlap_67%
1624,"marvel 2023 eternals Purple",2023,,,100,5092,"2023 Upper Deck Marvel Eternals - Purple",67,token_overlap_67%
1625,"marvel 2023 eternals Silver",2023,,,100,5094,"2023 Upper Deck Marvel Eternals - Silver",72,subset_term_match_72%
1670,"marvel 2023 fleer ultra wolverine Printing Plate",2023,66,"Marvel 2023 Fleer Ultra Wolverine ",100,4766,"2023 Fleer Ultra Marvel Wolverine",71,token_overlap_71%
1720,"marvel 2023 upper deck anime volume 2 Autograph",2023,68,"Marvel 2023 Upper Deck Anime Volume 2",100,4995,"2023 Upper Deck Marvel Anime Vol. 2",71,token_overlap_71%
1753,"marvel 2023 upper deck annual Printing Plate",2023,,,100,5502,"2023-24 Upper Deck Marvel Annual",71,token_overlap_71%
1854,"marvel 2024 skybox masterpieces '92 platinum Blue Traxx",2024,71,"Marvel 2024 Skybox Masterpieces '92 Platinum ",100,6011,"2024 Upper Deck Marvel Masterpieces '92 Platinum - Blue Traxx",78,token_overlap_78%
1855,"marvel 2024 skybox masterpieces '92 platinum Blue Traxx Variant",2024,71,"Marvel 2024 Skybox Masterpieces '92 Platinum ",100,6011,"2024 Upper Deck Marvel Masterpieces '92 Platinum - Blue Traxx",78,token_overlap_78%
1856,"marvel 2024 skybox masterpieces '92 platinum Canvas",2024,71,"Marvel 2024 Skybox Masterpieces '92 Platinum ",100,6012,"2024 Upper Deck Marvel Masterpieces '92 Platinum - Canvas",75,token_overlap_75%
1857,"marvel 2024 skybox masterpieces '92 platinum Clear Cut",2024,71,"Marvel 2024 Skybox Masterpieces '92 Platinum ",100,6013,"2024 Upper Deck Marvel Masterpieces '92 Platinum - Clear Cut",78,token_overlap_78%
1860,"marvel 2024 skybox masterpieces '92 platinum Emerald Surge",2024,71,"Marvel 2024 Skybox Masterpieces '92 Platinum ",100,6020,"2024 Upper Deck Marvel Masterpieces '92 Platinum - Emerald Surge",78,token_overlap_78%
1862,"marvel 2024 skybox masterpieces '92 platinum Golden Treasures",2024,71,"Marvel 2024 Skybox Masterpieces '92 Platinum ",100,6027,"2024 Upper Deck Marvel Masterpieces '92 Platinum - Golden Treasures",78,token_overlap_78%
1863,"marvel 2024 skybox masterpieces '92 platinum Golden Treasures Variant",2024,71,"Marvel 2024 Skybox Masterpieces '92 Platinum ",100,6027,"2024 Upper Deck Marvel Masterpieces '92 Platinum - Golden Treasures",78,token_overlap_78%
1864,"marvel 2024 skybox masterpieces '92 platinum Holofoil",2024,71,"Marvel 2024 Skybox Masterpieces '92 Platinum ",100,6028,"2024 Upper Deck Marvel Masterpieces '92 Platinum - Holofoil",75,token_overlap_75%
1865,"marvel 2024 skybox masterpieces '92 platinum Leather",2024,71,"Marvel 2024 Skybox Masterpieces '92 Platinum ",100,6030,"2024 Upper Deck Marvel Masterpieces '92 Platinum - Leather",75,token_overlap_75%
1866,"marvel 2024 skybox masterpieces '92 platinum Lenticular",2024,71,"Marvel 2024 Skybox Masterpieces '92 Platinum ",100,6031,"2024 Upper Deck Marvel Masterpieces '92 Platinum - Lenticular",75,token_overlap_75%
1867,"marvel 2024 skybox masterpieces '92 platinum Metallurgy",2024,71,"Marvel 2024 Skybox Masterpieces '92 Platinum ",100,6032,"2024 Upper Deck Marvel Masterpieces '92 Platinum - Metallurgy",75,token_overlap_75%
1868,"marvel 2024 skybox masterpieces '92 platinum Orange Lava",2024,71,"Marvel 2024 Skybox Masterpieces '92 Platinum ",100,6034,"2024 Upper Deck Marvel Masterpieces '92 Platinum - Orange Lava",78,token_overlap_78%
1869,"marvel 2024 skybox masterpieces '92 platinum Orange Lava Variant",2024,71,"Marvel 2024 Skybox Masterpieces '92 Platinum ",100,6034,"2024 Upper Deck Marvel Masterpieces '92 Platinum - Orange Lava",78,token_overlap_78%
1870,"marvel 2024 skybox masterpieces '92 platinum Pink Lasers",2024,71,"Marvel 2024 Skybox Masterpieces '92 Platinum ",100,6035,"2024 Upper Deck Marvel Masterpieces '92 Platinum - Pink Lasers",78,token_overlap_78%
